package,42638f7-allocations,42638f7-time,7bb8472-allocations,7bb8472-time,8.0.2-allocations,8.0.2-time,f6f0fd9-allocations,f6f0fd9-time
Cabal,1.3093120792e10,18.496000000000002,1.3645161304e10,18.639,0,0,1.5263144072e10,20.083
Glob-0.8,4.17303016e8,0.8320000000000001,4.1776872e8,0.796,8.37003984e8,1.464,4.19158416e8,0.798
HUnit-1.6.0,3.18136464e8,0.591,3.2705568e8,0.673,6.18293304e8,1.305,3.29109792e8,0.74
Only-0,2.23208944e8,0.616,2.20291752e8,0.7310000000000001,4.61151632e8,1.18,2.234888e8,0.615
QuickCheck-2.8,4.643520096e9,6.926,4.678199272e9,7.339,1.2422866328e10,21.377000000000002,4.739868832e9,7.178
RSA-2.3,5.076054e8,1.116,5.09895312e8,1.037,9.48176664e8,2.038,5.20517408e8,1.256
SHA-1.6.4,3.80426848e8,0.821,3.78526608e8,0.928,6.73004216e8,1.461,3.798604e8,0.825
StateVar-1.1.0,2.09768336e8,0.435,2.17534896e8,0.643,4.54764936e8,0.879,2.21977952e8,0.538
abstract-deque-0,2.2699628e8,0.501,2.4810936e8,0.5650000000000001,5.42382032e8,1.117,2.48369656e8,0.528
abstract-par-0.3,2.3105e8,0.508,2.3526296e8,0.655,4.007032e8,0.805,2.37011488e8,0.776
adjunctions-4,8.9682216e8,1.69,9.0802712e8,1.9260000000000002,1.61039992e9,3.181,9.6906184e8,1.85
aeson-1.2.1,2.795695736e9,4.8629999999999995,2.943408696e9,5.1850000000000005,4.84122248e9,9.779,3.342474024e9,5.981
aeson-compat-0.3,0,0,0,0,1.319558352e9,2.328,0,0
aeson-pretty-0.8,0,0,0,0,9.72942472e8,1.8860000000000001,0,0
ansi-terminal-0.6.3,2.75406688e8,0.487,2.75505952e8,0.525,5.06519784e8,1.171,2.8532068e8,0.5589999999999999
ansi-wl-pprint-0.6.7,2.92424064e8,0.5559999999999999,2.92159472e8,0.577,4.95739488e8,0.809,2.92915128e8,0.501
appar-0.1,2.06988728e8,0.559,2.13444048e8,0.635,4.69238072e8,1.009,2.20878232e8,0.479
asn1-encoding-0.9,4.08604808e8,0.839,4.18052528e8,0.863,7.56805448e8,1.5070000000000001,4.20065384e8,0.923
asn1-parse-0.9,2.23114992e8,0.579,2.22522464e8,0.472,4.75540528e8,0.9119999999999999,2.23386184e8,0.48
asn1-types-0.3,3.41976144e8,0.802,3.53508736e8,0.766,6.60814616e8,1.729,3.57827368e8,0.725
async-2.1.1,2.97593104e8,0.649,2.96651128e8,0.615,5.49048472e8,1.091,2.98690824e8,0.8089999999999999
attoparsec-0.13.1,1.050572624e9,1.738,1.073901024e9,2.0429999999999997,1.745400944e9,3.266,1.093811536e9,1.9589999999999996
attoparsec-iso8601-1.0.0,2.87125216e8,0.679,2.85607392e8,0.647,6.296024e8,1.227,2.86610744e8,0.671
authenticate-oauth-1,6.2596032e8,1.395,6.24881592e8,1.3319999999999999,1.325593672e9,2.872,6.3826208e8,1.519
auto-update-0.1,1.7386624e8,0.402,1.763242e8,0.487,3.4641076e8,0.684,1.76380744e8,0.588
base,1.5024392248e10,19.887999999999998,1.6465691328e10,23.157,0,0,1.876850236e10,24.286
base-compat-0.9,5.16612552e8,0.813,5.41568104e8,0.843,1.026911672e9,1.986,5.9414152e8,0.954
base-orphans-0,5.9820192e7,0.16999999999999998,5.9823888e7,0.128,5.2624644e8,1.297,5.9814464e7,0.127
base16-bytestring-0.1.1,1.08509048e8,0.29,1.08508256e8,0.299,2.59018768e8,0.664,1.08504064e8,0.281
base64-bytestring-1.0.0,1.741888e8,0.42100000000000004,1.74207344e8,0.4,3.45757576e8,0.838,1.74188944e8,0.476
bifunctors-5.4,1.113275424e9,2.376,1.130573912e9,1.928,2.164049552e9,3.412,1.216753768e9,2.3289999999999997
blaze-builder-0.4.0,4.40038872e8,0.808,4.51656248e8,0.863,8.49807216e8,1.463,4.46348664e8,0.7869999999999999
blaze-html-0.9.0,2.327252e9,2.7279999999999998,2.326759336e9,2.464,2.871630488e9,3.261,2.327031544e9,2.534
blaze-markup-0.8.0,4.25551952e8,0.774,4.33891448e8,0.794,7.49593912e8,1.278,4.36975968e8,0.87
byteable-0.1,1.3484332e8,0.382,1.34617592e8,0.375,3.409736e8,0.875,1.34748296e8,0.383
byteorder-1.0,1.09514464e8,0.394,1.09367888e8,0.298,2.60908464e8,0.7050000000000001,1.09562088e8,0.272
bytestring-builder-0.10.8.1,2.0802208e7,7.400000000000001e-2,2.052812e7,6.1e-2,2.394528e7,0.10300000000000001,2.0527552e7,6.0e-2
cabal-doctest-1.0,2.31698424e8,0.534,2.317018e8,0.593,5.19580864e8,1.044,2.31697024e8,0.578
call-stack-0.1,1.1028488e8,0.305,1.25033608e8,0.27999999999999997,3.18968232e8,0.87,1.25152728e8,0.378
case-insensitive-1.2.0,3.32235224e8,0.8260000000000001,3.30381968e8,0.73,6.90680448e8,1.326,3.38159608e8,0.798
cassava-0.5.0,9.39567368e8,1.775,9.72522136e8,1.9189999999999998,1.607393648e9,3.534,9.91715008e8,2.058
cereal-0.5.4,5.08846544e8,0.8979999999999999,5.10122776e8,0.9630000000000001,8.5894488e8,1.951,5.15665896e8,1.262
cipher-aes-0.2,3.11036704e8,0.673,3.35752944e8,0.743,6.51053992e8,1.2429999999999999,3.4265524e8,0.738
clientsession-0.9.1,5.534772e8,1.158,5.54984728e8,1.219,1.536884824e9,3.2119999999999997,5.55462464e8,1.499
clock-0.7,1.97647e8,0.499,1.96528256e8,0.46799999999999997,3.75552872e8,0.793,1.9804308e8,0.493
cmdargs-0.10,5.566344608e9,8.304,5.609985584e9,8.779,1.3414445888e10,25.372,5.889232784e9,8.323
code-page-0.1,1.000224e8,0.251,9.9858848e7,0.22699999999999998,2.29548248e8,0.494,9.9851184e7,0.244
comonad-5.0,6.59241864e8,1.341,6.57491088e8,1.205,1.173732312e9,1.986,7.44363264e8,1.31
compdata-0,0,0,0,0,1.8363394032e10,41.272,0,0
compiler,4.4760483072e10,64.813,4.8990429096e10,70.748,0,0,4.9949800776e10,73.316
conduit-1.2,1.29198512e9,2.112,1.314421088e9,2.412,2.053245128e9,3.868,1.359488544e9,2.402
conduit-extra-1.1,1.054016648e9,2.085,1.062099824e9,2.162,1.885397944e9,3.489,1.069270688e9,2.086
connection-0.2,4.46870352e8,1.09,4.57963672e8,1.045,9.41384304e8,1.731,4.57770584e8,1.202
contravariant-1,4.93719768e8,1.584,4.96533544e8,0.909,9.02894616e8,1.792,5.28318128e8,1.1360000000000001
cookie-0.4.2,2.96140856e8,0.987,3.03364608e8,0.852,6.5545736e8,1.282,3.0288484e8,0.8340000000000001
cpphs-1.20,4.29083368e8,0.894,4.31006e8,0.873,7.68945496e8,1.38,4.31292264e8,0.9259999999999999
cprng-aes-0.6,2.28553448e8,0.477,2.29409544e8,0.47,4.96804952e8,1.066,2.29619368e8,0.627
criterion-1.2.0,0,0,0,0,2.613544864e9,4.6850000000000005,0,0
crypto-api-0.13,6.75604872e8,1.259,6.85405464e8,1.352,1.27647136e9,2.174,7.0474436e8,1.369
crypto-cipher-types-0.0,3.40652432e8,0.8069999999999999,3.56772328e8,0.835,6.49855368e8,1.095,3.59400816e8,0.805
crypto-pubkey-types-0.4,5.6917668e8,1.194,5.7630044e8,1.064,1.050519232e9,1.665,6.27034712e8,1.2229999999999999
